state,state abbr,File week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Indiana,IN,2019-12-28,3418,2019-12-21,17756,3034091,0.59
Indiana,IN,2020-01-04,4434,2019-12-28,20062,3034091,0.66
Indiana,IN,2020-01-11,4890,2020-01-04,21524,3039304,0.71
Indiana,IN,2020-01-18,3741,2020-01-11,21626,3039304,0.71
Indiana,IN,2020-01-25,2956,2020-01-18,21366,3039304,0.7
Indiana,IN,2020-02-01,3016,2020-01-25,22017,3039304,0.72
Indiana,IN,2020-02-08,2725,2020-02-01,22212,3039304,0.73
Indiana,IN,2020-02-15,2556,2020-02-08,22352,3039304,0.74
Indiana,IN,2020-02-22,2979,2020-02-15,22913,3039304,0.75
Indiana,IN,2020-02-29,2276,2020-02-22,22994,3039304,0.76
Indiana,IN,2020-03-07,2223,2020-02-29,22586,3039304,0.74
Indiana,IN,2020-03-14,2596,2020-03-07,21473,3039304,0.71
Indiana,IN,2020-03-21,59755,2020-03-14,20778,3039304,0.68
Indiana,IN,2020-03-28,139174,2020-03-21,28987,3039304,0.95
Iowa,IA,2019-01-05,4300,2018-12-29,31173,1519868,2.05
Iowa,IA,2019-01-12,4395,2019-01-05,30334,1520724,1.99
Iowa,IA,2019-01-19,3127,2019-01-12,29093,1520724,1.91
Iowa,IA,2019-01-26,3728,2019-01-19,29509,1520724,1.94
Iowa,IA,2019-02-02,4142,2019-01-26,31177,1520724,2.05
Iowa,IA,2019-02-09,2679,2019-02-02,33539,1520724,2.21
Iowa,IA,2019-02-16,1983,2019-02-09,31633,1520724,2.08
Iowa,IA,2019-02-23,2179,2019-02-16,31257,1520724,2.06
Iowa,IA,2019-03-02,2309,2019-02-23,30786,1520724,2.02
Iowa,IA,2019-03-09,2232,2019-03-02,30964,1520724,2.04
Iowa,IA,2019-03-16,2348,2019-03-09,30334,1520724,1.99
Iowa,IA,2019-03-23,2272,2019-03-16,29330,1520724,1.93
Iowa,IA,2019-03-30,1882,2019-03-23,26969,1520724,1.77
Iowa,IA,2019-04-06,1780,2019-03-30,23639,1520724,1.55
Iowa,IA,2019-04-13,1836,2019-04-06,20317,1523830,1.33
Iowa,IA,2019-04-20,1823,2019-04-13,18430,1523830,1.21
Iowa,IA,2019-04-27,1997,2019-04-20,15793,1523830,1.04
Iowa,IA,2019-05-04,2673,2019-04-27,14645,1523830,0.96
Iowa,IA,2019-05-11,2204,2019-05-04,15317,1523830,1.01
Iowa,IA,2019-05-18,1959,2019-05-11,14100,1523830,0.93
Iowa,IA,2019-05-25,2128,2019-05-18,13501,1523830,0.89
Iowa,IA,2019-06-01,2195,2019-05-25,13632,1523830,0.89
Iowa,IA,2019-06-08,2569,2019-06-01,13691,1523830,0.9
Iowa,IA,2019-06-15,2120,2019-06-08,13729,1523830,0.9
Iowa,IA,2019-06-22,1781,2019-06-15,14233,1523830,0.93
Iowa,IA,2019-06-29,2123,2019-06-22,14086,1523830,0.92
Iowa,IA,2019-07-06,3307,2019-06-29,14360,1523830,0.94
Iowa,IA,2019-07-13,2635,2019-07-06,16194,1526417,1.06
Iowa,IA,2019-07-20,1835,2019-07-13,14970,1526417,0.98
Iowa,IA,2019-07-27,2380,2019-07-20,14469,1526417,0.95
Iowa,IA,2019-08-03,2271,2019-07-27,14969,1526417,0.98
Iowa,IA,2019-08-10,2349,2019-08-03,15309,1526417,1
Iowa,IA,2019-08-17,1805,2019-08-10,15306,1526417,1
Iowa,IA,2019-08-24,2099,2019-08-17,14682,1526417,0.96
Iowa,IA,2019-08-31,1769,2019-08-24,14008,1526417,0.92
Iowa,IA,2019-09-07,1787,2019-08-31,12711,1526417,0.83
Iowa,IA,2019-09-14,1692,2019-09-07,12305,1526417,0.81
Iowa,IA,2019-09-21,1738,2019-09-14,12103,1526417,0.79
Iowa,IA,2019-09-28,2245,2019-09-21,12051,1526417,0.79
Iowa,IA,2019-10-05,2228,2019-09-28,12539,1526417,0.82
Iowa,IA,2019-10-12,2117,2019-10-05,12665,1529213,0.83
Iowa,IA,2019-10-19,2296,2019-10-12,12359,1529213,0.81
Iowa,IA,2019-10-26,2945,2019-10-19,12635,1529213,0.83
Iowa,IA,2019-11-02,2851,2019-10-26,13551,1529213,0.89
Iowa,IA,2019-11-09,2927,2019-11-02,14055,1529213,0.92
Iowa,IA,2019-11-16,4579,2019-11-09,13285,1529213,0.87
Iowa,IA,2019-11-23,3794,2019-11-16,15608,1529213,1.02
Iowa,IA,2019-11-30,4988,2019-11-23,15536,1529213,1.02
Iowa,IA,2019-12-07,5531,2019-11-30,20394,1529213,1.33
Iowa,IA,2019-12-14,4934,2019-12-07,20080,1529213,1.31
Iowa,IA,2019-12-21,7357,2019-12-14,22119,1529213,1.45
Iowa,IA,2019-12-28,10338,2019-12-21,25963,1529213,1.7
Iowa,IA,2020-01-04,4586,2019-12-28,34549,1529213,2.26
Iowa,IA,2020-01-11,4836,2020-01-04,34540,1530920,2.26
Iowa,IA,2020-01-18,3615,2020-01-11,29625,1530920,1.94
Iowa,IA,2020-01-25,3115,2020-01-18,30369,1530920,1.98
Iowa,IA,2020-02-01,3066,2020-01-25,30890,1530920,2.02
Iowa,IA,2020-02-08,2379,2020-02-01,30789,1530920,2.01
Iowa,IA,2020-02-15,2239,2020-02-08,30799,1530920,2.01
Iowa,IA,2020-02-22,2631,2020-02-15,30741,1530920,2.01
Iowa,IA,2020-02-29,2240,2020-02-22,30516,1530920,1.99
Iowa,IA,2020-03-07,2221,2020-02-29,29424,1530920,1.92
Iowa,IA,2020-03-14,2229,2020-03-07,27816,1530920,1.82
Iowa,IA,2020-03-21,40952,2020-03-14,26496,1530920,1.73
Iowa,IA,2020-03-28,55966,2020-03-21,53650,1530920,3.5
Kansas,KS,2019-01-05,2185,2018-12-29,11601,1347587,0.86
Kansas,KS,2019-01-12,2165,2019-01-05,11583,1351006,0.86
Kansas,KS,2019-01-19,2795,2019-01-12,10975,1351006,0.81
Kansas,KS,2019-01-26,2501,2019-01-19,12051,1351006,0.89
Kansas,KS,2019-02-02,1917,2019-01-26,12743,1351006,0.94
Kansas,KS,2019-02-09,1766,2019-02-02,12281,1351006,0.91
Kansas,KS,2019-02-16,1610,2019-02-09,12274,1351006,0.91
Kansas,KS,2019-02-23,1803,2019-02-16,11800,1351006,0.87
Kansas,KS,2019-03-02,1709,2019-02-23,12141,1351006,0.9
Kansas,KS,2019-03-09,1583,2019-03-02,11479,1351006,0.85
Kansas,KS,2019-03-16,1648,2019-03-09,11193,1351006,0.83
Kansas,KS,2019-03-23,1271,2019-03-16,10886,1351006,0.81
Kansas,KS,2019-03-30,1490,2019-03-23,9195,1351006,0.68
Kansas,KS,2019-04-06,1357,2019-03-30,8643,1351006,0.64
Kansas,KS,2019-04-13,1298,2019-04-06,7999,1354497,0.59
Kansas,KS,2019-04-20,1167,2019-04-13,7767,1354498,0.57
Kansas,KS,2019-04-27,1271,2019-04-20,7649,1354497,0.56
Kansas,KS,2019-05-04,2025,2019-04-27,7589,1354497,0.56
Kansas,KS,2019-05-11,1546,2019-05-04,8253,1354497,0.61
Kansas,KS,2019-05-18,1402,2019-05-11,8083,1354497,0.6
Kansas,KS,2019-05-25,2024,2019-05-18,7711,1354497,0.57
Kansas,KS,2019-06-01,1533,2019-05-25,8257,1354497,0.61
Kansas,KS,2019-06-08,1512,2019-06-01,8110,1354497,0.6
Kansas,KS,2019-06-15,1436,2019-06-08,7857,1354497,0.58
Kansas,KS,2019-06-22,1292,2019-06-15,8149,1354497,0.6
Kansas,KS,2019-06-29,1516,2019-06-22,7871,1354497,0.58
Kansas,KS,2019-07-06,2419,2019-06-29,7914,1354497,0.58
Kansas,KS,2019-07-13,2657,2019-07-06,8316,1357246,0.61
Kansas,KS,2019-07-20,1366,2019-07-13,9472,1357246,0.7
Kansas,KS,2019-07-27,1360,2019-07-20,9308,1357246,0.69
Kansas,KS,2019-08-03,1398,2019-07-27,8779,1357246,0.65
Kansas,KS,2019-08-10,1325,2019-08-03,8500,1357246,0.63
Kansas,KS,2019-08-17,1172,2019-08-10,8222,1357246,0.61
Kansas,KS,2019-08-24,1183,2019-08-17,7509,1357246,0.55
Kansas,KS,2019-08-31,2166,2019-08-24,7473,1357246,0.55
Kansas,KS,2019-09-07,1289,2019-08-31,7639,1357246,0.56
Kansas,KS,2019-09-14,1127,2019-09-07,7366,1357246,0.54
Kansas,KS,2019-09-21,2602,2019-09-14,6843,1357246,0.5
Kansas,KS,2019-09-28,1206,2019-09-21,7643,1357246,0.56
Kansas,KS,2019-10-05,1318,2019-09-28,7417,1357246,0.55
Kansas,KS,2019-10-12,1245,2019-10-05,7198,1359781,0.53
Kansas,KS,2019-10-19,1132,2019-10-12,7269,1359781,0.53
Kansas,KS,2019-10-26,1316,2019-10-19,7126,1359781,0.52
Kansas,KS,2019-11-02,1346,2019-10-26,7279,1359781,0.54
Kansas,KS,2019-11-09,1457,2019-11-02,7093,1359781,0.52
Kansas,KS,2019-11-16,1413,2019-11-09,6982,1359781,0.51
Kansas,KS,2019-11-23,1620,2019-11-16,7345,1359781,0.54
Kansas,KS,2019-11-30,1236,2019-11-23,7258,1359781,0.53
Kansas,KS,2019-12-07,2176,2019-11-30,8246,1359781,0.61
Kansas,KS,2019-12-14,1825,2019-12-07,8077,1359781,0.59
Kansas,KS,2019-12-21,3096,2019-12-14,8562,1359781,0.63
Kansas,KS,2019-12-28,3059,2019-12-21,9525,1359781,0.7
Kansas,KS,2020-01-04,2019,2019-12-28,11175,1359781,0.82
Kansas,KS,2020-01-11,2140,2020-01-04,11431,1363114,0.84
Kansas,KS,2020-01-18,2402,2020-01-11,10638,1363114,0.78
Kansas,KS,2020-01-25,2557,2020-01-18,11182,1363114,0.82
Kansas,KS,2020-02-01,2000,2020-01-25,12301,1363114,0.9
Kansas,KS,2020-02-08,2107,2020-02-01,11809,1363114,0.87
Kansas,KS,2020-02-15,2076,2020-02-08,11666,1363114,0.86
Kansas,KS,2020-02-22,1494,2020-02-15,12003,1363114,0.88
Kansas,KS,2020-02-29,1517,2020-02-22,11505,1363114,0.84
Kansas,KS,2020-03-07,1365,2020-02-29,11003,1363115,0.81
Kansas,KS,2020-03-14,1755,2020-03-07,9771,1363114,0.72
Kansas,KS,2020-03-21,23563,2020-03-14,9973,1363114,0.73
Kansas,KS,2020-03-28,54330,2020-03-21,17558,1363114,1.29
Kentucky,KY,2019-01-05,6377,2018-12-29,10142,1876412,0.54
Kentucky,KY,2019-01-12,11344,2019-01-05,22486,1879936,1.2
Kentucky,KY,2019-01-19,3084,2019-01-12,20298,1879936,1.08
Kentucky,KY,2019-01-26,2949,2019-01-19,20960,1879936,1.11
Kentucky,KY,2019-02-02,2673,2019-01-26,20801,1879936,1.11
Kentucky,KY,2019-02-09,2381,2019-02-02,22688,1879936,1.21
Kentucky,KY,2019-02-16,2344,2019-02-09,21514,1879936,1.14
Kentucky,KY,2019-02-23,6831,2019-02-16,22762,1879936,1.21
Kentucky,KY,2019-03-02,3714,2019-02-23,23662,1879936,1.26
Kentucky,KY,2019-03-09,2046,2019-03-02,21175,1879936,1.13
Kentucky,KY,2019-03-16,2105,2019-03-09,20145,1879936,1.07
Kentucky,KY,2019-03-23,1957,2019-03-16,20317,1879936,1.08
Kentucky,KY,2019-03-30,2168,2019-03-23,18417,1879936,0.98
Kentucky,KY,2019-04-06,2774,2019-03-30,18087,1879936,0.96
Kentucky,KY,2019-04-13,2108,2019-04-06,16778,1883260,0.89
Kentucky,KY,2019-04-20,1983,2019-04-13,17427,1883260,0.93
Kentucky,KY,2019-04-27,1716,2019-04-20,15765,1883260,0.84
Kentucky,KY,2019-05-04,1938,2019-04-27,16169,1883260,0.86
Kentucky,KY,2019-05-11,1709,2019-05-04,15342,1883260,0.81
Kentucky,KY,2019-05-18,2272,2019-05-11,15678,1883260,0.83
Kentucky,KY,2019-05-25,2638,2019-05-18,15638,1883260,0.83
Kentucky,KY,2019-06-01,2403,2019-05-25,16305,1883260,0.87
Kentucky,KY,2019-06-08,2201,2019-06-01,16309,1883260,0.87
Kentucky,KY,2019-06-15,1936,2019-06-08,16535,1883260,0.88
Kentucky,KY,2019-06-22,3086,2019-06-15,16608,1883260,0.88
Kentucky,KY,2019-06-29,3555,2019-06-22,16599,1883260,0.88
Kentucky,KY,2019-07-06,6070,2019-06-29,17838,1883260,0.95
Kentucky,KY,2019-07-13,5442,2019-07-06,17861,1886070,0.95
Kentucky,KY,2019-07-20,5388,2019-07-13,17747,1886070,0.94
Kentucky,KY,2019-07-27,2042,2019-07-20,17985,1886070,0.95
Kentucky,KY,2019-08-03,2034,2019-07-27,17628,1886070,0.93
Kentucky,KY,2019-08-10,2457,2019-08-03,17397,1886070,0.92
Kentucky,KY,2019-08-17,2235,2019-08-10,16820,1886070,0.89
Kentucky,KY,2019-08-24,1974,2019-08-17,17311,1886070,0.92
Kentucky,KY,2019-08-31,1842,2019-08-24,16720,1886070,0.89
Kentucky,KY,2019-09-07,1788,2019-08-31,6623,1886070,0.35
Kentucky,KY,2019-09-14,1875,2019-09-07,16422,1886070,0.87
Kentucky,KY,2019-09-21,2236,2019-09-14,16015,1886070,0.85
Kentucky,KY,2019-09-28,2373,2019-09-21,15505,1886070,0.82
Kentucky,KY,2019-10-05,2421,2019-09-28,15963,1886070,0.85
Kentucky,KY,2019-10-12,2636,2019-10-05,15643,1889353,0.83
Kentucky,KY,2019-10-19,2359,2019-10-12,15598,1889353,0.83
Kentucky,KY,2019-10-26,2143,2019-10-19,16216,1889353,0.86
Kentucky,KY,2019-11-02,2056,2019-10-26,16702,1889353,0.88
Kentucky,KY,2019-11-09,2352,2019-11-02,15722,1889353,0.83
Kentucky,KY,2019-11-16,2273,2019-11-09,15979,1889353,0.85
Kentucky,KY,2019-11-23,2972,2019-11-16,15599,1889353,0.83
Kentucky,KY,2019-11-30,3187,2019-11-23,15003,1889353,0.79
Kentucky,KY,2019-12-07,3593,2019-11-30,18823,1889353,1
Kentucky,KY,2019-12-14,3663,2019-12-07,17264,1889353,0.91
Kentucky,KY,2019-12-21,4603,2019-12-14,18879,1889353,1
Kentucky,KY,2019-12-28,6211,2019-12-21,18489,1889353,0.98
Kentucky,KY,2020-01-04,5175,2019-12-28,22515,1890475,1.19
Kentucky,KY,2020-01-11,3968,2020-01-04,25124,1890475,1.33
Kentucky,KY,2020-01-18,3084,2020-01-11,24066,1890475,1.27
Kentucky,KY,2020-01-25,2569,2020-01-18,22874,1890475,1.21
Kentucky,KY,2020-02-01,2625,2020-01-25,23219,1890475,1.23
Kentucky,KY,2020-02-08,2936,2020-02-01,22937,1890475,1.21
Kentucky,KY,2020-02-15,2813,2020-02-08,23076,1890475,1.22
Kentucky,KY,2020-02-22,2508,2020-02-15,22623,1890475,1.2
Kentucky,KY,2020-02-29,2223,2020-02-22,23733,1890475,1.26
Kentucky,KY,2020-03-07,2463,2020-02-29,22770,1890475,1.2
Kentucky,KY,2020-03-14,2785,2020-03-07,22940,1890475,1.21
Kentucky,KY,2020-03-21,49023,2020-03-14,22328,1890475,1.18
Kentucky,KY,2020-03-28,113149,2020-03-21,24361,1890475,1.29
Louisiana,LA,2019-01-05,1826,2018-12-29,15954,1876044,0.85
Louisiana,LA,2019-01-12,2580,2019-01-05,15999,1878839,0.85
Louisiana,LA,2019-01-19,2222,2019-01-12,15851,1878839,0.84
Louisiana,LA,2019-01-26,1759,2019-01-19,15866,1878839,0.84
Louisiana,LA,2019-02-02,2062,2019-01-26,16467,1878839,0.88
Louisiana,LA,2019-02-09,1971,2019-02-02,15730,1878839,0.84
Louisiana,LA,2019-02-16,1672,2019-02-09,14607,1878839,0.78
Louisiana,LA,2019-02-23,1784,2019-02-16,15317,1878839,0.82
Louisiana,LA,2019-03-02,1674,2019-02-23,15535,1878839,0.83
Louisiana,LA,2019-03-09,1584,2019-03-02,14565,1878839,0.78
Louisiana,LA,2019-03-16,1661,2019-03-09,14268,1878839,0.76
Louisiana,LA,2019-03-23,1619,2019-03-16,14074,1878839,0.75
Louisiana,LA,2019-03-30,1666,2019-03-23,14283,1878839,0.76
Louisiana,LA,2019-04-06,1656,2019-03-30,13668,1878839,0.73
Louisiana,LA,2019-04-13,1887,2019-04-06,13414,1882518,0.71
Louisiana,LA,2019-04-20,1593,2019-04-13,13218,1882518,0.7
Louisiana,LA,2019-04-27,2030,2019-04-20,13136,1882518,0.7
Louisiana,LA,2019-05-04,2009,2019-04-27,13841,1882518,0.74
Louisiana,LA,2019-05-11,2028,2019-05-04,13409,1882518,0.71
Louisiana,LA,2019-05-18,2296,2019-05-11,13389,1882518,0.71
Louisiana,LA,2019-05-25,2742,2019-05-18,13528,1882518,0.72
Louisiana,LA,2019-06-01,2800,2019-05-25,14745,1882518,0.78
Louisiana,LA,2019-06-08,2818,2019-06-01,15358,1882518,0.82
Louisiana,LA,2019-06-15,2372,2019-06-08,16384,1882518,0.87
Louisiana,LA,2019-06-22,2238,2019-06-15,16630,1882518,0.88
Louisiana,LA,2019-06-29,2206,2019-06-22,17617,1882518,0.94
Louisiana,LA,2019-07-06,1844,2019-06-29,17097,1882518,0.91
Louisiana,LA,2019-07-13,2410,2019-07-06,17408,1887439,0.92
Louisiana,LA,2019-07-20,2349,2019-07-13,17688,1887439,0.94
Louisiana,LA,2019-07-27,2022,2019-07-20,17740,1887439,0.94
Louisiana,LA,2019-08-03,2126,2019-07-27,18179,1887439,0.96
Louisiana,LA,2019-08-10,2081,2019-08-03,17513,1887439,0.93
Louisiana,LA,2019-08-17,1994,2019-08-10,16787,1887439,0.89
Louisiana,LA,2019-08-24,1972,2019-08-17,16141,1887439,0.86
Louisiana,LA,2019-08-31,1881,2019-08-24,15678,1887439,0.83
Louisiana,LA,2019-09-07,1683,2019-08-31,15215,1887439,0.81
Louisiana,LA,2019-09-14,1806,2019-09-07,14792,1887439,0.78
Louisiana,LA,2019-09-21,1653,2019-09-14,14515,1887439,0.77
Louisiana,LA,2019-09-28,1612,2019-09-21,14054,1887439,0.74
Louisiana,LA,2019-10-05,1961,2019-09-28,14153,1887439,0.75
Louisiana,LA,2019-10-12,2069,2019-10-05,13420,1890973,0.71
Louisiana,LA,2019-10-19,1792,2019-10-12,13383,1890973,0.71
Louisiana,LA,2019-10-26,1867,2019-10-19,13445,1890973,0.71
Louisiana,LA,2019-11-02,1762,2019-10-26,13852,1890973,0.73
Louisiana,LA,2019-11-09,2272,2019-11-02,13410,1890973,0.71
Louisiana,LA,2019-11-16,2102,2019-11-09,13675,1890973,0.72
Louisiana,LA,2019-11-23,1903,2019-11-16,13955,1890973,0.74
Louisiana,LA,2019-11-30,1507,2019-11-23,14451,1890973,0.76
Louisiana,LA,2019-12-07,2448,2019-11-30,14563,1890973,0.77
Louisiana,LA,2019-12-14,2227,2019-12-07,14705,1890973,0.78
Louisiana,LA,2019-12-21,2218,2019-12-14,15358,1890973,0.81
Louisiana,LA,2019-12-28,1469,2019-12-21,15270,1890973,0.81
Louisiana,LA,2020-01-04,1658,2019-12-28,16553,1890973,0.88
Louisiana,LA,2020-01-11,2521,2020-01-04,15957,1892522,0.84
Louisiana,LA,2020-01-18,2008,2020-01-11,16076,1892522,0.85
Louisiana,LA,2020-01-25,1878,2020-01-18,15500,1892522,0.82
Louisiana,LA,2020-02-01,2058,2020-01-25,16189,1892522,0.86
Louisiana,LA,2020-02-08,1805,2020-02-01,15051,1892522,0.8
Louisiana,LA,2020-02-15,1739,2020-02-08,15057,1892522,0.8
Louisiana,LA,2020-02-22,1798,2020-02-15,14640,1892522,0.77
Louisiana,LA,2020-02-29,1509,2020-02-22,15289,1892522,0.81
Louisiana,LA,2020-03-07,1698,2020-02-29,14199,1892522,0.75
Louisiana,LA,2020-03-14,2255,2020-03-07,13987,1892522,0.74
Louisiana,LA,2020-03-21,72438,2020-03-14,14143,1892522,0.75
Louisiana,LA,2020-03-28,97400,2020-03-21,58027,1892522,3.07
Maine,ME,2019-01-05,1823,2018-12-29,7349,595363,1.23
Maine,ME,2019-01-12,1637,2019-01-05,8445,596934,1.41
Maine,ME,2019-01-19,1011,2019-01-12,8155,596934,1.37
Maine,ME,2019-01-26,904,2019-01-19,8247,596934,1.38
Maine,ME,2019-02-02,929,2019-01-26,8778,596934,1.47
Maine,ME,2019-02-09,746,2019-02-02,8671,596934,1.45
Maine,ME,2019-02-16,608,2019-02-09,8696,596934,1.46
Maine,ME,2019-02-23,597,2019-02-16,8645,596934,1.45
Maine,ME,2019-03-02,743,2019-02-23,9003,596934,1.51
Maine,ME,2019-03-09,710,2019-03-02,8510,596934,1.43
Maine,ME,2019-03-16,619,2019-03-09,8493,596934,1.42
Maine,ME,2019-03-23,561,2019-03-16,8166,596934,1.37
Maine,ME,2019-03-30,676,2019-03-23,8353,596934,1.4
Maine,ME,2019-04-06,739,2019-03-30,7613,596934,1.28
Maine,ME,2019-04-13,711,2019-04-06,7191,598159,1.2
Maine,ME,2019-04-20,688,2019-04-13,6947,598159,1.16
Maine,ME,2019-04-27,720,2019-04-20,6734,598159,1.13
Maine,ME,2019-05-04,573,2019-04-27,6045,598159,1.01
Maine,ME,2019-05-11,464,2019-05-04,5383,598159,0.9
Maine,ME,2019-05-18,528,2019-05-11,4932,598159,0.82
Maine,ME,2019-05-25,476,2019-05-18,4771,598159,0.8
Maine,ME,2019-06-01,351,2019-05-25,4312,598159,0.72
Maine,ME,2019-06-08,520,2019-06-01,4327,598159,0.72
Maine,ME,2019-06-15,437,2019-06-08,3988,598159,0.67
Maine,ME,2019-06-22,536,2019-06-15,4096,598159,0.68
Maine,ME,2019-06-29,531,2019-06-22,3966,598159,0.66
Maine,ME,2019-07-06,441,2019-06-29,3783,598159,0.63
Maine,ME,2019-07-13,708,2019-07-06,4301,600187,0.72
Maine,ME,2019-07-20,493,2019-07-13,4025,600187,0.67
Maine,ME,2019-07-27,565,2019-07-20,4072,600187,0.68
Maine,ME,2019-08-03,466,2019-07-27,3817,600187,0.64
Maine,ME,2019-08-10,447,2019-08-03,3779,600187,0.63
Maine,ME,2019-08-17,363,2019-08-10,3680,600187,0.61
Maine,ME,2019-08-24,350,2019-08-17,3613,600187,0.6
Maine,ME,2019-08-31,388,2019-08-24,3405,600187,0.57
Maine,ME,2019-09-07,388,2019-08-31,3096,600187,0.52
Maine,ME,2019-09-14,414,2019-09-07,2966,600187,0.49
Maine,ME,2019-09-21,382,2019-09-14,2965,600187,0.49
Maine,ME,2019-09-28,367,2019-09-21,2910,600187,0.48
Maine,ME,2019-10-05,414,2019-09-28,2960,600187,0.49
Maine,ME,2019-10-12,480,2019-10-05,3022,601875,0.5
Maine,ME,2019-10-19,419,2019-10-12,2938,601875,0.49
Maine,ME,2019-10-26,660,2019-10-19,3213,601875,0.53
Maine,ME,2019-11-02,721,2019-10-26,3310,601875,0.55
Maine,ME,2019-11-09,839,2019-11-02,3426,601875,0.57
Maine,ME,2019-11-16,785,2019-11-09,3860,601875,0.64
Maine,ME,2019-11-23,944,2019-11-16,4379,601875,0.73
Maine,ME,2019-11-30,732,2019-11-23,4550,601875,0.76
Maine,ME,2019-12-07,1351,2019-11-30,5383,601875,0.89
Maine,ME,2019-12-14,1304,2019-12-07,5657,601875,0.94
Maine,ME,2019-12-21,1123,2019-12-14,5763,601875,0.96
Maine,ME,2019-12-28,985,2019-12-21,5900,601875,0.98
Maine,ME,2020-01-04,1663,2019-12-28,7828,601875,1.3
Maine,ME,2020-01-11,1561,2020-01-04,7832,602736,1.3
Maine,ME,2020-01-18,959,2020-01-11,8661,602736,1.44
Maine,ME,2020-01-25,944,2020-01-18,8457,602736,1.4
Maine,ME,2020-02-01,881,2020-01-25,8916,602736,1.48
Maine,ME,2020-02-08,702,2020-02-01,8809,602736,1.46
Maine,ME,2020-02-15,790,2020-02-08,8896,602736,1.48
Maine,ME,2020-02-22,737,2020-02-15,8624,602736,1.43
Maine,ME,2020-02-29,862,2020-02-22,9007,602736,1.49
Maine,ME,2020-03-07,715,2020-02-29,8739,602736,1.45
Maine,ME,2020-03-14,634,2020-03-07,8451,602736,1.4
Maine,ME,2020-03-21,21459,2020-03-14,8703,602736,1.44
Maine,ME,2020-03-28,23770,2020-03-21,21967,602736,3.64
Maryland,MD,2019-01-05,4467,2018-12-29,33251,2515703,1.32
Maryland,MD,2019-01-12,5297,2019-01-05,32480,2526008,1.29
Maryland,MD,2019-01-19,4735,2019-01-12,32879,2526008,1.3
Maryland,MD,2019-01-26,4079,2019-01-19,33817,2526008,1.34
Maryland,MD,2019-02-02,3704,2019-01-26,34359,2526008,1.36
Maryland,MD,2019-02-09,3134,2019-02-02,33439,2526008,1.32
Maryland,MD,2019-02-16,3162,2019-02-09,32645,2526008,1.29
Maryland,MD,2019-02-23,2551,2019-02-16,32382,2526008,1.28
Maryland,MD,2019-03-02,2730,2019-02-23,32168,2526008,1.27
Maryland,MD,2019-03-09,2885,2019-03-02,31246,2526008,1.24
Maryland,MD,2019-03-16,2593,2019-03-09,30617,2526008,1.21
Maryland,MD,2019-03-23,2923,2019-03-16,28913,2526008,1.14
Maryland,MD,2019-03-30,2396,2019-03-23,28207,2526008,1.12
Maryland,MD,2019-04-06,2482,2019-03-30,26559,2526008,1.05
Maryland,MD,2019-04-13,2780,2019-04-06,25494,2535812,1.01
Maryland,MD,2019-04-20,3257,2019-04-13,24780,2535812,0.98
Maryland,MD,2019-04-27,2532,2019-04-20,25013,2535812,0.99
Maryland,MD,2019-05-04,2435,2019-04-27,23732,2535812,0.94
Maryland,MD,2019-05-11,2503,2019-05-04,23197,2535812,0.91
Maryland,MD,2019-05-18,2712,2019-05-11,21892,2535812,0.86
Maryland,MD,2019-05-25,3174,2019-05-18,24632,2535812,0.97
Maryland,MD,2019-06-01,2630,2019-05-25,25059,2535812,0.99
Maryland,MD,2019-06-08,3060,2019-06-01,25252,2535812,1
Maryland,MD,2019-06-15,3360,2019-06-08,25397,2535812,1
Maryland,MD,2019-06-22,5100,2019-06-15,25762,2535812,1.02
Maryland,MD,2019-06-29,3897,2019-06-22,27803,2535812,1.1
Maryland,MD,2019-07-06,3155,2019-06-29,28630,2535812,1.13
Maryland,MD,2019-07-13,3102,2019-07-06,29481,2542023,1.16
Maryland,MD,2019-07-20,2900,2019-07-13,28817,2542023,1.13
Maryland,MD,2019-07-27,2757,2019-07-20,28894,2542023,1.14
Maryland,MD,2019-08-03,3175,2019-07-27,28805,2542023,1.13
Maryland,MD,2019-08-10,3101,2019-08-03,28987,2542023,1.14
Maryland,MD,2019-08-17,2800,2019-08-10,29301,2542023,1.15
Maryland,MD,2019-08-24,2706,2019-08-17,28962,2542023,1.14
Maryland,MD,2019-08-31,2513,2019-08-24,28495,2542023,1.12
Maryland,MD,2019-09-07,2502,2019-08-31,26541,2542023,1.04
Maryland,MD,2019-09-14,2621,2019-09-07,23672,2542023,0.93
Maryland,MD,2019-09-21,2469,2019-09-14,23084,2542023,0.91
Maryland,MD,2019-09-28,2565,2019-09-21,22826,2542023,0.9
Maryland,MD,2019-10-05,2678,2019-09-28,21017,2542023,0.83
Maryland,MD,2019-10-12,2873,2019-10-05,21072,2547265,0.83
Maryland,MD,2019-10-19,2502,2019-10-12,21097,2547265,0.83
Maryland,MD,2019-10-26,2768,2019-10-19,21327,2547265,0.84
Maryland,MD,2019-11-02,2872,2019-10-26,21654,2547265,0.85
Maryland,MD,2019-11-09,3242,2019-11-02,21922,2547265,0.86
Maryland,MD,2019-11-16,2803,2019-11-09,22346,2547265,0.88
Maryland,MD,2019-11-23,3007,2019-11-16,22771,2547265,0.89
Maryland,MD,2019-11-30,2951,2019-11-23,22187,2547265,0.87
Maryland,MD,2019-12-07,4055,2019-11-30,24529,2547265,0.96
Maryland,MD,2019-12-14,3476,2019-12-07,24063,2547265,0.94
